Input State,Input Size,Selection,Insertion,Binary Insertion,Bubble,Shaker,Shell,Heap,Merge,Quick,Counting,Radix,Flash
Random,1000,0,0,0,0.004,0.004,0,0,0,0,0,0,0,
Random,3000,0.011,0.005,0.004,0.021,0.046,0,0,0,0,0,0,0,
Random,10000,0.135,0.088,0.063,0.602,0.556,0.004,0.006,0.004,0.006,0,0.005,0.001,
Random,30000,1.225,0.726,0.608,5.74,4.764,0.009,0.021,0.011,0.006,0,0.004,0.004,
Random,100000,15.584,7.533,6.415,52.262,52.041,0.038,0.056,0.047,0.02,0.004,0.021,0.004,
Sorted,1000,0,0,0,0.004,0.001,0,0,0,0,0,0,0,
Sorted,3000,0.008,0,0,0.016,0.012,0,0,0.004,0,0,0,0,
Sorted,10000,0.185,0,0,0.189,0.169,0,0.004,0.004,0.008,0.001,0.004,0,
Sorted,30000,1.484,0.001,0.008,1.536,0.621,0,0.004,0.004,0.012,0,0,0,
Sorted,100000,9.935,0,0.11,12.02,10.886,0.007,0.03,0.023,0.083,0.004,0.004,0.004,
Decrease,1000,0.004,0,0,0.004,0,0,0,0,0,0,0,0,
Decrease,3000,0.004,0.012,0.008,0.028,0.024,0,0,0,0,0,0,0,
Decrease,10000,0.077,0.115,0.132,0.515,0.367,0,0.004,0.004,0,0,0.004,0,
Decrease,30000,0.739,1.118,1.031,3.36,3.3,0,0.008,0.004,0.004,0,0,0,
Decrease,100000,7.91,17.131,10.938,45.36,52.777,0.02,0.04,0.024,0.033,0.004,0,0.004,
